GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,bank,BankAccount,0,90,0,6,0,19,0,9,0,6
demo,bank,BankMain,81,0,0,0,10,0,2,0,2,0
